Wind Speed (m/s),Terrain Type,Land Use,Grid Connectivity (km),Environmental Impact,Economic Viability,wind_speed (m/s),wind_direction (degrees),temperature (C),humidity (%),seasonal_variation,elevation (m),proximity_to_power_lines (km),wildlife_habitats_nearby,protected_areas_nearby,zoning_laws,permit_status,accessibility,community_acceptance,installation_cost (million $),energy_output_potential (MW),Optimal for Turbine
10.03,Hilly,Commercial,14.34,6,9,4.35,39,8.4,36,Low,1573,4.19,Yes,No,Yes,Approved,Poor,High,43.05,11.29,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
5.91,Hilly,Forest,14.93,7,10,7.08,110,23.8,61,Moderate,2730,0.11,No,Yes,Yes,Approved,Poor,High,26.94,8.62,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
9.77,Mountainous,Commercial,14.08,7,8,9.3,55,28.2,53,High,2118,3.11,No,Yes,Yes,Rejected,Moderate,Moderate,36.56,7.11,0
4.34,Mountainous,Forest,17.39,2,2,6.12,356,7.1,46,High,501,3.19,No,Yes,No,Pending,Moderate,Moderate,4.67,4.03,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
8.26,Flat,Forest,0.55,7,6,4.45,157,31.1,68,Low,592,6.92,No,Yes,No,Rejected,Good,High,9.35,1.89,0
12.1,Flat,Residential,5.15,8,7,10.48,339,-7.8,56,High,1549,14.03,No,Yes,No,Rejected,Good,Moderate,32.47,3.66,0
7.94,Flat,Residential,19.64,5,9,4.22,87,22.5,30,High,1431,7.1,No,Yes,Yes,Rejected,Moderate,Low,25.64,0.76,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
5.73,Flat,Commercial,1.95,10,9,12.76,246,-2.4,64,High,1661,10.21,No,Yes,Yes,Approved,Moderate,High,46.43,14.42,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
4.22,Mountainous,Agricultural,11.44,6,3,6.01,230,8.4,55,Moderate,1060,2.21,No,No,No,Rejected,Poor,High,31.38,12.37,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
4.42,Hilly,Agricultural,10.89,10,7,8.77,289,7.0,12,Moderate,43,13.96,Yes,No,No,Pending,Good,Low,40.41,5.9,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
11.75,Flat,Residential,10.69,6,6,14.43,262,14.1,81,High,1911,10.2,No,No,Yes,Pending,Moderate,Low,44.86,14.56,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
12.47,Hilly,Forest,17.72,4,2,14.02,337,33.1,25,High,2631,6.43,No,No,Yes,Rejected,Poor,Moderate,42.34,3.24,0
5.77,Mountainous,Forest,9.59,6,3,7.69,112,4.8,41,Low,2698,10.58,No,Yes,No,Approved,Moderate,High,28.71,9.57,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
7.86,Mountainous,Commercial,8.54,2,9,9.97,293,7.2,73,High,742,1.29,Yes,No,Yes,Approved,Poor,Low,23.54,12.69,0
8.88,Flat,Agricultural,10.89,9,6,5.59,307,-5.3,50,Low,118,2.83,No,Yes,Yes,Approved,Moderate,Moderate,42.98,1.32,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
4.24,Hilly,Forest,4.08,6,9,13.08,286,5.2,68,High,631,9.54,Yes,Yes,No,Pending,Poor,Moderate,26.42,4.95,0
12.19,Mountainous,Agricultural,9.3,1,4,5.55,259,2.4,69,High,179,10.67,Yes,No,No,Rejected,Poor,Low,27.35,6.5,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
11.92,Hilly,Commercial,5.75,7,5,7.87,0,20.0,72,High,2888,3.9,No,No,Yes,Rejected,Moderate,Moderate,7.44,6.81,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
13.17,Mountainous,Agricultural,6.92,1,2,4.21,253,33.8,90,Low,1012,8.9,No,No,No,Pending,Moderate,Low,33.31,3.09,0
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
14.04,Mountainous,Forest,3.31,3,7,9.54,93,-9.6,65,High,604,0.39,No,No,Yes,Approved,Moderate,High,37.09,6.32,1
11.94,Flat,Commercial,13.06,2,9,12.19,108,12.3,57,Moderate,2474,10.43,Yes,Yes,No,Approved,Poor,High,33.09,4.24,0
